brand,name,old_price_reais,new_price_reais,old_price_centavos,new_price_centavos,rating,reviews
OLYMPIKUS,Tênis Masculino Olympikus Proof Tam Especial 45 A 48,199,33,90,32,4.8,(13)
OLYMPIKUS,Tênis Olympikus Zex Masculino Branco Promoção Pix,199,19,34,,4.5,(2)
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,109,10,49,64,4.5,(2575)
OLYMPIKUS,Tênis Olympikus Diffuse 5 Masculino Esportivo Original,251,31,38,,,
SCHIARELI,Tênis Confortavel Esportivo Leve Macio Varias Cores,139,34,90,98,4.6,(79)
MIZUNO,Kit 1 Tênis De Corrida Masculino Mizuno Goya E 3 Pares De Me,219,21,99,38,,
SKECHERS,Tênis Skechers Go Run Fast Valor Masculino - Marinho,269,33,90,74,4.9,(7)
KG,Tênis Casual Air Kg Camurça Masculino Feminino Unissex,79,7,68,,4.4,(14)
HOKA,Hoka Clifton 9 Masculino Adultos,1.299,129,90,,5.0,(2)
MIZUNO,Tênis Masculino E Feminino Wave Way 3 Mizuno *oferta*,399,258,99,99,4.8,(461)
OLIMPAK,Tênis Masculino Caminhada Clássico Olimp Moda Star Treino,56,18,67,,,
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,75,99,04,4.2,(139)
EVOLTENN,Tênis Boost Masculino Evoltenn Esporte Casual Colmeia Treino,69,6,90,79,4.7,(7)
OLYMPIKUS,Tênis Olympikus Beats Preto,259,25,99,21,,
ASICS,Asics Novablast 3 LE Masculino Adultos,999,99,90,99,4.8,(18)
NEW BALANCE,Tênis Masculino New Balance Fuelcell Rebel V4 Corrida,1.099,106,64,,5.0,(8)
ADRUN,Tênis Esportivo Masculino Adrun Walk 8306m,140,126,91,90,4.7,(36)
ADAPTION,Tênis Masculino Leve Confortável Casual Adaption Limited,49,16,90,63,4.3,(42)
REKOBA,Tênis Rekoba Ohio,179,35,90,98,4.6,(28)
OLYMPIKUS,Tenis Masculino Olympikus Delta 122 Esportivo,150,14,58,,5.0,(10)
PLAZA,Tênis Masculino Plaza Neo Academia Caminhada Promoção Casual,62,6,90,11,4.4,(14)
FILA,Tênis Fila Racer Master Preto,269,33,90,74,5.0,(5)
ADAPTION,Kit 2 Pares Tenis + Relogio Brinde Academia Caminhada Leve,129,12,90,63,4.5,(93)
OLYMPIKUS,Olympikus Delta Masculino Adultos,159,15,90,54,4.7,(621)
BAD FISH,Tênis Track Sapatilha Bad Fish Air Mesh Adventure Pesca,219,31,99,43,4.9,(46)
FILA,Fila Activewear Transition Masculino Adultos F01R00083,329,224,90,92,4.6,(49)
OLYMPIKUS,Olympikus Casual Triunfo 2 Masculino Adultos,279,148,99,39,4.8,(538)
WEST,Tênis Kit 2 Pares Mizwest 20 Promoção Masculino Garantia !!1,160,15,70,62,4.1,(421)
AMANDA BRAZIL,Sapatilha Aquática Neoprene Pesca Flexível Nautica + Relogio,45,4,90,45,,
OLDSEN,Combo 2 Tenis Masculino Oldsen Jaguar Corrida Frete Gratis,154,15,90,06,,
OLDSEN,Kit 3 Pares Tênis Treino Fitness Conforto Academia 34-43,189,18,90,46,4.4,(5)
ADAPTION,Adaption Easy Masculino Adultos,41,3,97,,4.4,(1110)
OLYMPIKUS,Oferta Olympikus Cyber 3 Preto/ Dourado C/nf Lucaisane Tênis,229,22,99,36,4.8,(38)
UNDER ARMOUR,Tênis Under Armour Tribase Cross Se,429,42,90,99,4.4,(7)
OLYMPIKUS,Mega Oferta Olympikus Neblina C/ Nf Lucaisane Tênis,279,27,99,15,4.6,(68)
AMANDA BRAZIL,Sapatilha Aquática Neoprene Hibrida Nautica Bike + Relogio,45,4,90,45,,
BOX200,Tênis Masculino Tamanho Especial Esporte Caminhada Box 200,78,7,50,63,4.5,(276)
OLDSEN,Kit 2 Tenis Masculino Unissex Botinha Casual Academia Urbano,179,17,90,49,5.0,(1)
OLYMPIKUS,Olympikus Caminhada Cygnus Masculino Adultos,189,31,90,65,4.8,(977)
OLYMP,Tênis Kit 2 Pares  Olymp Lançamento Zoo Meg Top Homem Sport#,143,35,75,,4.3,(454)
FILA,Tenis Fila Masculino Promoção ,289,32,90,21,4.6,(71)
EVOLTENN,Tenis Academia Corrida Original Caminhada Evoltenn Crossfit,78,74,90,95,4.5,(4153)
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,75,99,04,4.2,(139)
LYND,Tênis Lynd Academia Corrida Treino Gravit Flux 2,229,22,90,35,4.9,(14)
ADAPTION,Kit 2 Tenis Masculino Caminhada Academia Promoção + Relogio,139,13,90,60,4.2,(473)
ULTRABONE,Tenis Masculino Esportivo Caminhada Fitness Ultrabone Black,99,94,90,90,,
SEVEN BRASIL,Sapatenis Espotivo Tenis De Academia Corrida Caminhada,75,25,90,30,,
GALAXY,Tênis Masculino Caminhada Academia Leve Promoção Kit 3 Pares,176,17,90,19,4.4,(156)
OLDSEN,Tênis Lançamento Original Confortável Corrida Esportivo,63,6,90,21,4.8,(11)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,69,66,90,40,4.5,(322)
RABUTSS,Tênis Jogger Masculino Casual Esportivo Academia Dia A Dia,89,8,90,74,,
TAYGRA,Tênis Taygra Conforto Original + Brinde Unissex Várias Cores,179,17,90,49,4.8,(106)
FILA,Tênis Fila Racer Nairobi Masculino Marinho Treino,309,30,90,04,,
ACTVITTA,Tenis Masculino Actvitta Corrida Profissional 4931.100,179,17,40,,,
OLDSEN,Kit 2 Tênis Masculino Casual Oldsen Jaguar Frete Gratis Novo,159,143,90,91,4.4,(318)
LAVINI SHOES,Slip On Masculino Tenis Corrida Academia Levinho Barato,79,26,90,63,,
ZEUZ,Tênis Masculino Esportivo Caminhada Academia Musculação Leve,82,8,45,01,4.2,(16)
ASCENSION,Tenis Masculino Leve Confortavel  Para Treino + Relógio ,109,36,90,63,4.7,(6)
POLO PLUS,Tênis Masculino Leve P/ Caminhada Academia Polo Plus+brinde,139,35,99,,4.3,(4)
SCHIARELI,Tênis Caminhada Corrida Academia Promoção 595eva,136,34,91,23,4.6,(7)
DM DAMANDO,Kit 3 Pares Tênis Masculino Para Treino Confort Leve,198,33,90,15,,
EVOLTENN,Tênis Boost Masculino Evoltenn Esporte Casual Colmeia Treino,89,8,90,74,4.2,(9)
DK SHOES,Kit Tenis Skatista Masculino Casual  Basico E Um Par De Meia,79,75,90,90,4.7,(3)
DM DAMANDO,Tênis Masculino Academia Treino Crossfit Sola Transada Macia,72,69,90,25,,
AMANDA BRAZIL,Tenis Meia Sapatilha Hibrida Neoprene Esporte Aquatico Pesca,42,4,90,16,,
ASC,Tênis Masculino Esportivo Academia Leve Original Promoção,144,14,90,08,4.4,(98)
OLYMPIKUS,Olympikus Proof 2 Masculino Adultos,164,15,90,,4.8,(85)
HEADER,Kit 2 Tênis Masculino Spider Original Na Caixa Top + Relógio,129,12,90,63,4.4,(24)
MIZUNO,Mizuno Cool Ride Masculino Adultos,279,252,88,43,4.8,(935)
HEADER,Kit 3 Tênis Masculino Header Easy Corrida Esporte + Relógio,189,31,90,65,,
ADRUN,Tênis Masc Calce Fácil Adrun Flex Power Moove Ortopédico Fit,149,37,99,50,4.7,(28)
HEADER,Kit 3 Tênis Masculino Header Spider Promoção Top + Relógio,189,18,90,46,,
WAYKE,Teis Masculino Academia Treino Confortável Lançamento Barato,69,57,90,,,
ASICS,Asics Gel-Excite 8 Masculino Adultos,299,28,99,,4.8,(66)
PLAZA,Kit 2 Pares De Tênis Super Leve Plaza Neo Esportivo +relógio,149,14,90,57,4.2,(425)
OLYMPIKUS,Olympikus Challenger 4 Masculino Adultos,261,25,30,,4.7,(11)
DM DAMANDO,Combo 2 Tenis Masculino Academia Confortavel +relogio E Meia,159,15,90,54,4.9,(7)
HEADER,Kit 2 Tênis Masculino Spider Caminhada Promoção + Relógio,129,12,90,63,4.6,(17)
OLYMPIKUS,Tenis Masculino Olympikus Ultra Leve 195g Original Corrida,199,147,99,99,4.7,(41)
VIA LIVRE,Tênis Masculino Ultra Leve Advanced Pro Run Academia Vl060,134,13,90,11,3.7,(3)
ZEUS,Tênis Zeus Velcro Infantil Esportivo Caminhada Corrida 59kx,64,21,99,66,,
GALAXY,Tênis Masculino Caminhada Academia Promoção - Kit 2 Pares,129,12,90,63,4.6,(29)
HEADER,Kit 2 Tênis Masculino Header Easy Corrida + Relógio,129,12,90,63,,
HEADER,Kit 3 Tênis Masculino Header Easy Academia Barato + Relógio,189,18,90,46,4.6,(47)
MIZUNO,Mizuno Space 3 Masculino Adultos,299,33,98,33,4.7,(1652)
UNDER ARMOUR,Under Armour Buzzer Masculino Adultos,499,48,99,47,4.5,(937)
MIZUNO,Kit 1 Tênis De Corrida Masculino Mizuno Wave Zest E 3 Pares ,299,29,99,08,,
OLYMPIKUS,Olympikus Casual Urbano Ast Masculino Adultos,179,17,40,,4.5,(12)
OLYMPIKUS,Olympikus Treino Volcan Masculino Adultos,159,15,45,,4.7,(1394)
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,159,15,99,55,4.8,(1765)
URBAN SHOES,Tênis Molas Bolha Tn Plus 1 Novo Corrida 2 Hype Moda Motoboy,137,34,99,50,5.0,(2)
OLYMPIKUS,Tênis Masculino Dynamic Olympikus Oferta,279,239,99,39,4.6,(16)
ASICS,Asics Gel-Sparta 2 Masculino Adultos,299,28,99,,5.0,(4)
MIZUNO,Tênis Creation 20 Unissex 33 A 44 Mega Promoção Queima Estoq,249,31,99,25,4.0,(57)
UNDER ARMOUR,Under Armour Tribase Cross SE Masculino Adultos,536,53,60,,,
WAVES,Kit 2 Pares De Tênis Para Academia Esportivo Envio Rápido,149,37,94,48,,
STYLL BABY,Tênis Mizun Styll Wave Creation 20 Masculino Tamanho 38 A 45,99,33,90,30,4.4,(25)
OUTROS,Tenis Infantil De Led Divertido Batman Relogio + Oculos,49,16,90,63,5.0,(6)
MIZUNO,Tênis Esportivo Pro 7 Wave Prophecy Preto Academia Corrida,289,32,99,22,4.4,(9)
TITANIUM,Tênis Pro 8 Wave Unissex Refletivo Novo Urbano Esporte ,497,49,39,74,4.0,(2)
OLYMPIKUS,Olympikus Marte Masculino Adultos,157,15,26,,4.8,(328)
WAVES,Kit 3 Pares De Tênis Para Academia Masculino Promoção Full,219,31,92,42,,
PUMA,Tênis Puma Scuderia Ferrari New Sapato Clássico/ Promoção,179,35,90,98,4.3,(16)
OLYMPIKUS,Tênis Olympikus Poseidon Unissex,149,37,99,50,4.7,(25)
MIZUNO,Tênis Masculinos Pro 9 Wave Academia Corrida Caminhada + F.g,289,32,99,22,4.2,(19)
OLYMPIKUS,Olympikus Cyber 3 Masculino Adultos,199,19,99,44,4.7,(44)
TITANIUM,Tênis Pro 8 Wave Unissex Refletivo Novo Urbano Esporte ,499,49,39,94,,
NEW FASHION,Tênis New Fashion Original (vermelho) C/listras Refletivas,189,18,99,47,,
SKECHERS,Tênis Skechers D'lux Walker Scrambler,575,57,80,58,,
OLYMPIKUS,Tênis Olympikus Diffuse 4 Unissex,169,34,99,,4.7,(51)
OLYMPIKUS,Olympikus CORRIDA Veloz 2 Masculino Adultos,217,31,,,4.8,(275)
PUMA,Tênis Puma Masculino Automobilismo Ferrari New / Promoção,179,35,90,98,3.9,(18)
RUGGERO,Tênis Ortopédico Esporão Palmilha De Gel Confortável Oferta,109,36,90,63,5.0,(2)
