brand,name,old_price_reais,new_price_reais,old_price_centavos,new_price_centavos,rating,reviews
OLYMPIKUS,Tênis Olympikus Veloz 3 Corrida Treino Conforto Unissex,319,297,90,50,,
OLYMPIKUS,Olympikus Poseidon Masculino Adultos,199,176,99,99,4.7,(734)
OLDSEN,Tenis Masculino Casual Macio Caminhada Treino Oldsen Bmax ,78,75,99,04,4.2,(139)
FILA,Tênis Fila Improve Masculino Preto E Azul Original,439,393,99,99,,
FILA,Tênis Fila Kr6 Preto Corrida Caminhada Resistente Envio Já,599,60,99,,,
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,246,182,94,73,4.8,(2047)
PUMA,Tênis Masculino E Feminino Flyer Flex Bdp Puma *oferta*,329,209,90,99,4.8,(259)
FILA,Tênis Masculino Fila Renno Classic  Casual Confortável Leve,299,269,99,99,,
VIA LIVRE,Tênis Masculino Advanced Flutua Academia Caminhada Flexível,199,33,66,28,,
FILA,Tênis Fila Masculino Adr Original,362,322,99,99,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Corrida Unissex Treino,319,297,90,50,,
ADRUN,Tênis Esportivo Masculino Adrun Flex Go 9801m Preto,139,34,90,98,,
BF SHOES,Tênis Branco Lançamento Original Confortável,92,68,63,55,4.6,(7816)
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,78,7,90,67,4.6,(996)
BF SHOES,Tênis Branco Masculino Para Academia Esportivo Bf Shoes,78,74,90,95,4.8,(69)
FILA,Kit Tênis Fila  Adr  Masculino E Meia,362,329,99,99,,
FILA,Tênis Fila Street Fit Masculino Preto All Black,329,296,10,71,4.0,(4)
OLYMPIKUS,Tenis Masculino Olympikus Cyber 4 Lançamento,259,32,90,49,4.8,(39)
OLYMPIKUS,Tênis Olympikus Volcan 2 Masculino Original,219,199,98,99,,
ADAPTION,Kit 2 Pares De Tenis Masculino Academia Limited + Relogio,131,12,42,77,4.4,(4249)
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,144,137,90,65,4.5,(454)
TMC,Tênis Masculino Academia Olympiko Esportivo Barato Original,78,67,90,06,4.5,(258)
MVP FITNESS,Tênis Mvp Para Crossfit - 3x3 All Black,379,360,05,01,4.8,(138)
ADIDAS,Tênis adidas Response Super Verde,599,59,90,99,,
ADVANCED,Kit 3 Tênis Masculino Esportivo Corrida Academia Confortável,299,269,90,91,5.0,(3)
DUBBELE,Tenis Masculino Academia Corrida Wave Force Promoção Barato,73,7,98,19,4.2,(543)
VIA LIVRE,Tênis Masculino Advanced Flutua Academia Corrida Extra Leve,199,33,85,31,,
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,74,90,95,4.5,(1305)
TAYGRA,Taygra Original Para Dança Confortável  Preto - Envio 24hs ,179,17,90,49,4.8,(141)
OLYMPIKUS,Tenis Olympikus Challenger 5 Original Corrida Treino,299,278,90,90,5.0,(2)
FILA,Kit Tênis Fila Improve Masculino E Meia,439,399,99,99,,
WONDER,Tenis Masculino Wonder Esportivo Fit Academia Corrida Casual,78,7,90,67,4.3,(29)
OLYMPIKUS,Tênis Olympikus Cyber 4 Masculino Corrida - Caminhada,259,32,90,49,4.7,(3)
MIZUNO,Tênis Para Caminhada Mizuno Cool Ride 2 - Masculino Original,397,369,21,79,,
OLDSEN,Tenis Unissex Infantil Jaguar Corrida Academia Treino 34-43,78,74,90,95,4.6,(944)
ADIDAS,Tênis Esportivo Masculino E Feminino Lite Racer 4.0 adidas,299,268,99,99,4.4,(36)
OLYMPIKUS,Tênis Olympikus Volcan 2 Original Dia A Dia Confortável,249,199,99,99,4.8,(30)
OLYMPIKUS,Tênis Masculino Olympikus Estilo2 Treino - Adulto - Original,225,21,50,92,4.0,(1)
OLYMPIKUS,Tênis Olympikus Masculino Volcan 2 Original,219,199,98,99,,
OLYMPIKUS,Tênis Olympikus Veloz 3 Corrida Treino Conforto Unissex,319,289,90,88,,
SAPATOFRAN,Tênis Sapatênis Esportivo Para Academia X-try Original Leve,77,69,26,30,4.1,(369)
FILA,Tênis Fila Racer Nairobi Preto Cinza E Verde - Masculino,379,296,99,39,4.8,(227)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,74,90,95,4.2,(163)
OLYMPIKUS,Olympikus Casual Mood Masculino Adultos,179,17,99,50,4.8,(3553)
OLYMPIKUS,Olympikus Ultraleve 130g Feminino Adultos,208,20,22,,4.8,(4279)
UNDER ARMOUR,Tênis De Corrida Masculino Under Armour *oferta*,279,31,99,11,4.8,(116)
OLDSEN,Tênis Masculino Academia Esportivo Caminhada Academia ,78,74,90,95,4.2,(240)
TAYGRA,Tenis Taygra,179,35,90,98,5.0,(6)
ASCENSION,Tenis Masculino Feminino Ortopedico Crossfit Original ,69,57,99,54,4.6,(74)
NEW BALANCE,Tênis New Balance 997s Sport Masculino Adulto - Exclusivos,213,30,99,57,5.0,(3)
HAYMAX,Tênis Skatista Masculino Feminino Old School Envio Imediato,99,9,99,72,4.5,(908)
VIA LIVRE,Tênis Masculino Esportivo Academia Treino Corrida Sola Eva,199,33,79,30,,
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,185,24,92,4.7,(36)
LYND,Tênis Masculino Corrida Academia Caminhada Lynd- Grid 321,199,179,90,91,4.7,(521)
OLYMPIKUS,Olympikus Zex Masculino Adultos,229,206,10,03,4.7,(622)
